Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
63,Trey Burke\burketr01,PG,24,WAS,53,0,12.4,2.0,4.5,.444,0.5,1.2,.419,1.5,3.3,.452,.498,0.4,0.5,.741,0.1,0.7,0.8,1.8,0.2,0.1,0.8,1.0,4.9
64,Alec Burks\burksal01,SG,25,UTA,23,0,14.8,2.4,5.3,.447,0.5,1.7,.308,1.9,3.7,.512,.496,1.3,1.9,.682,0.2,1.5,1.7,0.7,0.5,0.1,0.8,1.4,6.6
65,Jimmy Butler\butleji01,SF,27,CHI,53,52,36.8,7.5,16.7,.448,1.2,3.5,.346,6.3,13.2,.476,.485,8.1,9.4,.867,1.6,4.7,6.3,5.1,1.8,0.3,2.1,1.7,24.3
66,Bruno Caboclo\cabocbr01,SF,21,TOR,8,0,2.9,0.1,0.6,.200,0.1,0.4,.333,0.0,0.3,.000,.300,0.0,0.0,,0.4,0.4,0.8,0.4,0.3,0.0,0.3,0.4,0.4
67,Jose Calderon\caldejo01,PG,35,LAL,24,11,12.2,1.3,3.2,.416,0.5,1.4,.353,0.8,1.8,.465,.494,0.2,0.2,1.000,0.3,1.4,1.7,2.1,0.3,0.0,1.1,0.9,3.3
68,Kentavious Caldwell-Pope\caldwke01,SG,23,DET,54,54,34.0,5.2,12.6,.411,2.2,5.8,.377,3.0,6.8,.440,.498,2.1,2.5,.830,0.8,2.7,3.4,2.8,1.3,0.2,1.2,1.7,14.6
69,Isaiah Canaan\canaais01,SG,25,CHI,33,0,17.3,1.8,5.0,.372,0.7,2.7,.273,1.1,2.3,.487,.445,0.8,0.9,.903,0.2,1.2,1.4,1.1,0.6,0.0,0.6,1.1,5.3
70,Clint Capela\capelca01,C,22,HOU,46,40,23.1,5.4,8.2,.653,0.0,0.0,,5.4,8.2,.653,.653,1.3,2.6,.508,2.3,5.2,7.5,0.9,0.5,1.4,1.3,2.6,12.0
71,DeMarre Carroll\carrode01,SF,30,TOR,55,55,27.4,3.3,8.1,.411,1.6,4.6,.350,1.7,3.4,.492,.511,1.3,1.7,.758,0.9,3.2,4.1,1.0,1.1,0.4,0.8,2.0,9.5
72,Vince Carter\cartevi01,SG,40,MEM,52,0,24.1,2.7,6.8,.388,1.5,4.0,.364,1.2,2.8,.422,.494,1.3,1.8,.728,0.5,2.7,3.2,1.8,0.8,0.5,0.6,2.3,8.1
73,Michael Carter-Williams\cartemi01,PG,25,CHI,27,19,21.7,3.0,7.8,.389,0.3,1.7,.200,2.7,6.1,.440,.410,1.7,2.2,.763,0.7,3.9,4.5,2.6,0.8,0.4,1.7,2.5,8.1
74,Omri Casspi\casspom01,SF,28,TOT,23,2,18.3,2.5,5.5,.460,0.6,1.4,.394,2.0,4.0,.484,.512,0.5,0.9,.571,0.9,3.1,4.0,1.1,0.4,0.0,0.8,1.1,6.1
74,Omri Casspi\casspom01,SF,28,SAC,22,2,18.0,2.4,5.3,.453,0.5,1.3,.379,1.9,4.0,.477,.500,0.5,1.0,.571,0.9,3.2,4.1,1.2,0.5,0.0,0.8,1.0,5.9
74,Omri Casspi\casspom01,SF,28,NOP,1,0,24.0,5.0,9.0,.556,2.0,4.0,.500,3.0,5.0,.600,.667,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,12.0
75,Willie Cauley-Stein\caulewi01,C,23,SAC,53,1,14.1,2.7,4.9,.552,0.0,0.0,.000,2.7,4.9,.556,.552,0.8,1.4,.608,0.9,2.0,2.9,0.6,0.5,0.5,0.7,1.8,6.3
76,Tyson Chandler\chandty01,C,34,PHO,47,46,27.6,3.3,4.9,.671,0.0,0.0,,3.3,4.9,.671,.671,1.9,2.6,.734,3.3,8.1,11.4,0.6,0.7,0.5,1.4,2.7,8.4
77,Wilson Chandler\chandwi01,SF,29,DEN,53,20,30.9,6.2,13.6,.455,1.5,4.5,.339,4.7,9.1,.511,.510,2.0,2.7,.732,1.7,5.1,6.7,2.1,0.8,0.4,1.8,2.4,15.8
78,Marquese Chriss\chrisma01,PF,19,PHO,59,52,19.0,3.0,7.0,.427,0.7,2.4,.303,2.3,4.6,.493,.479,1.1,1.8,.606,1.1,2.4,3.5,0.6,0.8,0.6,1.1,3.1,7.8
79,Rakeem Christmas\chrisra01,PF,25,IND,10,0,7.3,0.9,1.8,.500,0.0,0.0,,0.9,1.8,.500,.500,0.8,0.9,.889,1.1,1.3,2.4,0.1,0.1,0.5,0.4,1.2,2.6
80,Semaj Christon\chrisse01,PG,24,OKC,42,0,14.6,1.3,3.9,.335,0.2,1.0,.182,1.1,2.9,.392,.360,0.3,0.6,.480,0.3,1.0,1.4,2.2,0.3,0.1,0.7,1.3,3.1
81,Ian Clark\clarkia01,SG,25,GSW,54,0,14.1,2.5,5.2,.480,0.9,2.2,.393,1.6,3.0,.543,.562,0.6,0.7,.750,0.3,1.2,1.5,1.2,0.6,0.1,0.6,0.9,6.4
82,Jordan Clarkson\clarkjo01,SG,24,LAL,60,3,27.4,5.5,12.3,.450,1.3,3.8,.329,4.3,8.5,.505,.501,1.5,1.9,.772,0.7,2.3,2.9,2.1,1.3,0.1,1.9,1.9,13.8
83,Darren Collison\collida01,PG,29,SAC,52,48,30.9,5.2,10.8,.477,1.3,2.9,.428,3.9,7.9,.495,.535,2.0,2.3,.860,0.4,1.8,2.2,4.3,1.1,0.1,1.6,1.8,13.6
84,Nick Collison\collini01,PF,36,OKC,14,0,5.8,0.4,0.7,.600,0.0,0.0,,0.4,0.7,.600,.600,0.3,0.5,.571,0.3,0.7,1.0,0.6,0.1,0.1,0.2,0.6,1.1
85,Mike Conley\conlemi01,PG,29,MEM,48,47,32.7,6.4,14.3,.445,2.4,5.8,.410,4.0,8.5,.469,.528,4.3,5.1,.841,0.5,3.0,3.6,6.2,1.3,0.3,2.2,1.7,19.4
86,Pat Connaughton\connapa01,SG,24,POR,27,0,7.2,0.7,1.4,.487,0.3,0.6,.438,0.4,0.9,.522,.577,0.3,0.3,.778,0.3,0.8,1.1,0.6,0.1,0.1,0.2,0.5,1.9
87,Quinn Cook\cookqu01,G,23,DAL,1,0,17.0,1.0,5.0,.200,0.0,3.0,.000,1.0,2.0,.500,.200,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0
88,DeMarcus Cousins\couside01,C,26,TOT,58,58,34.1,9.1,20.0,.454,1.7,4.8,.350,7.4,15.2,.487,.496,7.7,9.9,.773,2.1,8.7,10.8,4.8,1.4,1.3,3.7,3.7,27.6
88,DeMarcus Cousins\couside01,C,26,SAC,55,55,34.4,9.2,20.3,.451,1.7,4.9,.354,7.5,15.5,.482,.494,7.7,10.0,.770,2.1,8.6,10.7,4.8,1.4,1.3,3.8,3.7,27.8
88,DeMarcus Cousins\couside01,C,26,NOP,3,3,29.3,7.3,14.0,.524,1.0,4.0,.250,6.3,10.0,.633,.560,7.7,9.3,.821,3.0,10.0,13.0,4.7,2.7,1.3,3.0,4.3,23.3
89,Robert Covington\covinro01,SF,26,PHI,53,53,31.4,4.2,10.6,.393,2.0,6.2,.327,2.2,4.5,.483,.488,1.8,2.3,.797,1.4,4.9,6.4,1.6,2.0,0.9,1.9,3.0,12.2
90,Allen Crabbe\crabbal01,SG,24,POR,58,7,28.4,3.6,7.9,.459,1.5,3.5,.428,2.2,4.5,.483,.552,1.5,1.7,.871,0.3,2.4,2.7,1.2,0.6,0.2,0.9,2.2,10.3
91,Jamal Crawford\crawfja01,SG,36,LAC,59,1,26.7,4.4,10.9,.402,1.4,4.0,.340,3.0,6.9,.438,.464,2.0,2.4,.838,0.2,1.4,1.7,2.8,0.7,0.2,1.8,1.4,12.2
92,Jae Crowder\crowdja01,SF,26,BOS,50,50,32.4,4.6,10.0,.464,2.2,5.6,.400,2.4,4.4,.546,.576,2.3,2.7,.844,0.6,4.7,5.3,2.1,1.0,0.3,0.9,2.3,13.8
93,Dante Cunningham\cunnida01,SF,29,NOP,45,27,24.9,2.4,5.4,.439,1.1,2.8,.389,1.3,2.6,.492,.539,0.2,0.3,.571,0.8,3.3,4.1,0.7,0.5,0.5,0.5,1.7,6.0
94,Seth Curry\curryse01,PG,26,DAL,55,27,28.7,4.7,9.9,.478,1.9,4.4,.430,2.8,5.4,.517,.575,1.0,1.2,.824,0.4,2.2,2.6,2.8,1.2,0.1,1.3,1.9,12.3
95,Stephen Curry\curryst01,PG,28,GSW,58,58,33.4,8.3,17.8,.467,4.0,9.8,.407,4.3,8.0,.540,.578,4.2,4.6,.918,0.6,3.7,4.3,6.3,1.7,0.2,2.9,2.2,24.8
96,Troy Daniels\danietr01,SG,25,MEM,45,3,17.2,2.9,7.4,.389,2.1,5.2,.397,0.8,2.2,.367,.529,0.8,1.0,.804,0.3,1.0,1.3,0.7,0.4,0.0,0.6,1.4,8.6
97,Anthony Davis\davisan02,C,23,NOP,56,56,36.3,10.3,20.6,.502,0.5,1.7,.309,9.8,18.9,.519,.514,7.0,8.7,.798,2.3,9.6,11.9,2.2,1.3,2.4,2.6,2.4,28.1
98,Deyonta Davis\davisde01,C,20,MEM,26,0,7.2,0.8,1.5,.513,0.0,0.0,,0.8,1.5,.513,.513,0.3,0.7,.529,0.7,1.3,2.0,0.1,0.0,0.6,0.3,1.2,1.9
99,Ed Davis\davised01,PF,27,POR,46,12,17.2,1.6,3.1,.528,0.0,0.0,,1.6,3.1,.528,.528,1.1,1.8,.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3.0,4.3
100,Dewayne Dedmon\dedmode01,C,27,SAS,52,14,17.5,2.3,3.6,.632,0.0,0.0,,2.3,3.6,.632,.632,0.9,1.3,.710,1.7,5.0,6.7,0.7,0.6,0.9,0.7,2.4,5.4
101,Sam Dekker\dekkesa01,SF,22,HOU,61,1,19.5,3.0,6.2,.477,0.9,2.7,.331,2.0,3.5,.592,.550,0.6,1.0,.586,1.4,2.4,3.8,1.0,0.6,0.3,0.6,1.2,7.4
