Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
42,Anthony Bennett\bennean01,PF,23,BRK,23,264,14.7,.533,.522,.391,10.1,20.9,15.6,7.1,0.9,0.9,10.0,19.4,,0.3,0.2,0.5,.082,,-0.8,-2.3,-3.2,-0.1
43,Davis Bertans\bertada01,PF,24,SAS,49,564,13.1,.612,.731,.192,3.1,10.4,6.8,9.1,1.3,2.9,11.0,15.2,,0.9,0.8,1.7,.143,,1.5,0.5,2.0,0.6
44,Patrick Beverley\beverpa01,SG,28,HOU,47,1430,13.6,.549,.524,.126,4.7,16.2,10.4,20.4,2.5,1.1,14.6,14.0,,2.2,1.8,4.0,.134,,1.1,1.7,2.7,1.7
45,Bismack Biyombo\biyombi01,C,24,ORL,59,1360,11.9,.539,.000,.707,9.0,25.5,17.0,6.1,0.7,4.5,18.7,13.1,,0.3,1.7,2.1,.073,,-4.5,2.6,-1.9,0.0
46,Nemanja Bjelica\bjeline01,PF,28,MIN,58,1011,10.3,.526,.526,.166,4.7,17.8,11.2,9.1,1.8,1.4,14.3,16.5,,0.3,0.9,1.1,.054,,-1.1,-0.3,-1.4,0.1
47,Tarik Black\blackta01,C,25,LAL,48,779,15.1,.560,.010,.414,14.5,21.1,17.7,6.5,1.1,2.7,14.5,15.9,,1.2,0.6,1.8,.110,,-1.4,-0.1,-1.5,0.1
48,Eric Bledsoe\bledser01,PG,27,PHO,58,1935,21.2,.567,.300,.440,2.8,14.1,8.3,31.6,2.0,1.1,15.0,28.0,,4.2,1.2,5.4,.135,,4.2,-0.4,3.8,2.8
49,Bojan Bogdanovic\bogdabo02,SF,27,TOT,57,1533,13.0,.571,.457,.270,1.6,12.2,7.0,9.9,0.8,0.3,11.9,22.1,,1.1,0.4,1.5,.046,,-0.4,-2.6,-3.0,-0.4
49,Bojan Bogdanovic\bogdabo02,SF,27,BRK,55,1482,13.1,.572,.453,.273,1.7,12.2,7.0,10.1,0.8,0.2,11.8,22.4,,1.1,0.3,1.4,.047,,-0.3,-2.7,-3.0,-0.4
49,Bojan Bogdanovic\bogdabo02,SF,27,WAS,2,51,8.9,.535,.600,.133,0.0,11.0,5.5,5.4,1.9,3.3,15.9,16.3,,0.0,0.1,0.0,.034,,-3.4,0.2,-3.2,0.0
50,Andrew Bogut\bogutan01,C,32,DAL,26,582,9.4,.460,.012,.136,10.5,34.2,21.8,12.3,1.2,3.9,33.4,10.5,,-0.3,1.0,0.7,.057,,-5.6,5.4,-0.2,0.3
51,Joel Bolomboy\bolomjo01,PF,23,UTA,9,20,22.6,.592,.200,.800,6.0,50.2,28.9,8.2,2.6,4.1,12.9,18.2,,0.0,0.1,0.1,.216,,-3.6,4.1,0.5,0.0
52,Devin Booker\bookede01,SG,20,PHO,58,2008,14.2,.531,.286,.289,1.9,7.4,4.5,15.3,1.3,0.6,12.8,27.8,,1.1,0.4,1.5,.037,,0.1,-2.8,-2.7,-0.4
53,Trevor Booker\booketr01,PF,29,BRK,53,1384,16.3,.565,.129,.214,8.5,25.9,17.3,13.5,2.2,1.2,16.5,17.9,,1.1,1.6,2.7,.094,,-1.2,2.0,0.8,1.0
